_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	0		100		9	20.7732		2.4425		12.675		1.48524		
_D:	1	0	0		100		10	31.6305		0.936229	15.4912		-0.00391536	
_D:	1	0	0		100		11	19.6655		1.16529		12.7512		-0.064564	
_D:	1	0	1		100		12	15.9455		1.03453		10.9901		0.151457	
_D:	1	0	0		100		13	18.4373		-1.05927	10.0793		-2.33402	
_D:	1	0	0		100		14	30.5734		2.37846		14.0361		-0.0926257	
_D:	1	0	1		100		15	14.5891		3.13563		6.27413		-3.87434	
_D:	1	0	1		100		16	20.5622		2.80977		13.49		0.686316	
_D:	1	0	0		100		17	27.6144		2.35725		12.2702		-0.119846	
_D:	1	0	0		100		18	28.9568		0.997631	14.4566		-0.462661	
_D:	1	0	0		100		19	30.8863		1.61147		15.347		-0.667711	
_D:	1	0	2		100		20	33.5663		0.440394	14.2544		-1.25856	
_D:	1	0	1		100		21	9.29487		10.2614		0.23281		-0.511812	
_D:	1	0	1		100		22	16.5232		7.07644		10.9508		-4.56267	
_D:	1	0	0		100		23	4.83205		11.0552		0.0375029	-0.2387		
_D:	1	0	1		100		24	10.3833		2.75466		6.1479		1.05763		
_D:	1	0	0		100		25	0.101456	9.97532		0.101375	-6.13807	
_D:	1	0	0		100		26	0.0644319	12.2364		0.0644194	-5.44145	
_D:	1	0	0		100		27	0.0192201	20.3334		0.0191846	2.76073		
_D:	1	0	0		100		28	0.0427203	18.0553		0.0422086	4.29626		
_D:	1	0	0		100		29	0.0597695	24.5928		0.0585531	7.15817		
_D:	1	0	0		100		30	0.0472489	20.8911		0.047995	7.51826		
_D:	1	0	0		100		31	0.0654237	22.9216		0.0632644	9.11902		
_D:	1	0	0		100		32	0.125777	22.5559		0.124253	8.28544		
_D:	1	0	0		100		33	0.0609288	24.6771		0.0489154	10.1911		
_D:	1	0	0		100		34	0.142469	24.2556		0.127349	11.2456		
_D:	1	0	0		100		35	0.268476	23.8741		0.218797	12.4309		
_D:	1	0	0		100		36	0.182467	22.2975		0.135377	9.18943		
_D:	1	0	0		100		37	-0.0375149	19.6736		-0.157161	8.81426		
_D:	1	0	0		100		38	0.226691	25.6153		-0.00177909	11.8546		
_D:	1	0	0		100		39	0.138537	23.324		-0.082617	11.9824		
_D:	1	0	0		100		40	0.181561	19.4876		0.204899	5.01475		
_D:	1	0	1		100		40	4.21965		7.58137		0.405978	-2.38848	
_D:	1	0	0		100		1	27.5827		0.586698	12.7983		0.248187	
_D:	1	0	0		100		2	27.2216		1.03527		13.4848		0.772178	
_D:	1	0	0		100		3	27.5602		0.425646	13.8725		0.387482	
_D:	1	0	0		100		4	28.1218		0.842436	13.7081		0.584154	
_D:	1	0	0		100		5	26.6338		0.594213	12.9998		0.505214	
_D:	1	0	0		100		6	28.4754		0.7803		12.9523		0.645268	
_D:	1	0	0		100		7	29.5122		0.813768	14.3792		0.742242	
_D:	1	0	0		100		8	26.3422		1.68671		13.1203		1.53913		
_D:	1	0	0		100		9	30.7463		1.79373		13.4037		1.70978		
_D:	1	0	0		100		10	26.3521		2.25976		12.1527		2.10226		
_D:	1	0	0		100		11	28.6509		1.23297		13.549		1.06408		
_D:	1	0	0		100		12	27.1822		1.8765		12.7476		1.72862		
_D:	1	0	0		100		13	28.323		1.50355		13.2158		1.45905		
_D:	1	0	0		100		14	29.4505		1.9717		12.9889		1.90793		
_D:	1	0	0		100		15	25.8063		2.96816		12.6014		2.24657		
_D:	1	0	0		100		16	29.8588		3.09131		13.6126		2.69804		
_D:	1	0	1		100		17	12.9231		12.5089		11.032		12.1912		
_D:	1	0	0		100		18	30.5275		2.71668		12.0984		2.34334		
_D:	1	0	1		100		19	20.1867		7.55233		13.0632		7.33031		
_D:	1	0	1		100		20	18.9906		8.50842		12.9216		8.31713		
